c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
28,Madelene,Latvia,618,Pgi,608.44,LwOsZvae,WzLtur
29,Nester,Nigeria,918,FvF RHB,851.06,fwb,ZDwSUJh
30,Guildroy,American Samoa,45,NiGEwqOuC,758.14,ViiSDC,YbI
31,Gherardo,Turkey,999,"w ",899.69,vDj,mH
32,Gavrila,United Arab Emirates,935,ev,109.15,OAqhJnd,sB
33,Papageno,Reunion,922,axT,328.64,avtADKj,WDyjG
34,LaRue,Belize,860,CGUVyiaS,351.47,XK,gXdMSuAwf
35,Nicoline,Egypt,917,rxV,353.97,Ji,ZmcDQCN
36,Mullane,French Southern Territories,260,NyWAJ,559.91,xik,ntjX
37,Gower,Netherlands,284,iEqQ,707.29,oKv,H WcOYyH
38,Campball,Oman,998,BWpXolF,362.71,RokExu,IoZP lpL
39,Thad,Argentina,541," ZKzO",724.26,bW,cD
40,Douglass,"Moldova, Republic of",915,qTkapfp,691.02,OhyTsZXR,twvlYWNV
41,Ambrosia,Turks and Caicos Islands,939,"  ",278.56,V qiHC,jqZVYpBW
42,Sidonius,Cyprus,421,IhEUr,310.25,XzYiS,nQsyz
43,Yerkovich,Cyprus,271,xkahkyD,798.77,cMn lxqiSd,ILHhhTlnZj
44,Brieta,Austria,863,WrSXjAqgN,204.67,Fkzj,IABCW
45,Bevin,Cocos (Keeling) Islands,774,iGmq,236.39,gEiPcAYIG,TRies
46,Khorma,Antigua and Barbuda,305,dO,326,iqrZRijC,ZFGcLcT
47,Donoghue,Saint Lucia,436,HOW,183.04,cGZDxgFZ,NdlNtUVY
48,Dahlia,Benin,165,gX,412.66,uoNVcn,ZecYxzDJ
49,Deegan,Guernsey,356,PWbi,438.86,tQjruTQZO,mCMB
50,Bach,France,255,FoTdiNwf,100.97,mNzLxwCCGk,lsF
51,Wilona,Saint Helena,3,IvneFGrY,146.54,Pc,wKdleMJlf
52,Claudine,Nauru,952,KmzXmzT,499.69,FeyPvuCJk,TBNZ
53,Chapland,Czech Republic,945,myncgdeDT,317.23,gnev,EJ
54,Ingra,Hong Kong,766,JqQNkhV,544.53,iIiHSG,FLt
55,Ariella,Honduras,229,dZ,660.9,krn SZKY,WFwX
56,Talia,Poland,921,Pf,311.29,JMErYW,kzMV
57,Sothena,Puerto Rico,430,dF,250.89,PMIdsoex,TlsI
58,Monaco,Congo,7,oReAyWWJ,225.39,Wc,QEZYHmQP
59,Uund,Kuwait,660,BlYjA,246.01,Ub,wHjSx
60,Ashok,Cocos (Keeling) Islands,969,uSdKRUc,171.14,dhIIdFZzt,jwMTkd
61,Charmine,Samoa,977,loLrOCKMe,76.24,Tg,BnVM
62,Matthew,United Arab Emirates,273,GcBAxhuD,963.68,WVyCSm,YiXKD
63,Autrey,Christmas Island,860,YstoKvIW,71.39,qGKZDKOb,AiHDvviZoJ
64,McClimans,Denmark,578,AUGU,569.67,FMutPfSfEF,lCRHBr
65,Socha,Svalbard and Jan Mayen,66,kH,675.84,lanF,XZlmXlug
66,Bobbee,Macao,179,qwnn,734.47,SMnKhrRXDa,LvfSlpIxa
67,Jerald,French Guiana,594,vPItpSW,729.27,JMyUxpUjGH,Hw
68,Bendick,Myanmar,480,LyhwolorL,657.64,ZpiVuMuTor,IGWDZHgn
69,Alva,Pakistan,95,oojbs,460.17,dsgbPRMxE,"JbmUWTi "
70,Madox,Iceland,62,ehs,98.01,K uMrMdX,icDdgn
71,Urias,Honduras,47,XA,683.25,DoBmnUdvnB,mJkPpBdn
72,Darian,Tajikistan,771,Xghoq,380.25,QdYve,yqXqH
73,Lytton,Anguilla,72,AyNal,77.28,OVEBHPX,mE
74,Rese,Fiji,952,EMn,295.74,Hq,XCpXHr
75,Ochs,Puerto Rico,878,QoWGy,642.91,NsJaEbp,qD
76,Tacye,"Cote D""Ivoire",158,uv,686.81,PBq,uRAxuUytIY
77,Ax,Antarctica,391,GwPp,162.42,WbPH,rNOfzRAqw
78,Roumell,Hungary,833,CtUjYcig,763.46,kv,uHSj
79,Nerita,Mauritania,933,HDE,363.79,zdoXt,LSSqQKaR
80,Saree,Turks and Caicos Islands,426,nKHT,134.48,ys,rNkRroHQUu
81,Connelly,Macao,855,XpcJ,860.32,qHwRTBYfae,iMxxaOXogN
82,Pelagias,Uruguay,934,ZZLjl,698.63,LT,XVLAW O
83,Jary,Angola,877,AKCd,550.01,JSdSwu,BPmGzBVRf
84,Zetta,Malawi,797,FbpSJ,365.74,ZSjsLv,EaDVjJQd
85,Kylander,Afghanistan,985,Lh,595.56,aT,nhTwBfsXX
86,Vary,Martinique,284,C s,392.96,BS kWHmZjN,RjTxXz
87,Bergman,Tajikistan,534,"yLqVDxQ ",594.22,CoeIsKm,iNUH
88,Othilia,Norfolk Island,829,DQT,357.71,lMbswcHybc,EhJ
89,Elsinore,Burundi,706,IcGLiMV,205.6,hEDXcr,AESF
90,Strephon,Venezuela,315,D vfu,764.52,rmSqK,QcM
91,Campball,Namibia,941,RklqR,739.86,ciERUzE,wHxuVPGJY
92,Lesley,Maldives,193,VQPqk,829.67,F stK,gP
93,Vittoria,Trinidad and Tobago,955,FL cpxZbc,126.57,FGEs,MVTVKMj
94,Norvol,Morocco,462,MmSxdDE,553.49,cZTuOW,nUKqk
95,Solitta,Iraq,594,elp,925.32,"qX ",cHVEkLaAnH
96,Saree,Austria,154,Rwj,530.64,bCXSXWRq,Pv
97,Boehike,Guinea-Bissau,437,eJaYdseoP,333.24,fEiOqQoIZA,RH
98,Fink,Portugal,728,Gco,594.31,tbbJcJZXf,Adiboz
99,Othilia,Japan,420,vbL,887.86,isgp,HRIxVsE
100,Gwenore,"Palestinian Territory, Occupied",320,zCeDjiF,57.5,ycjzmg,yxXb
101,Clarissa,Iraq,377,oDXxuUdhe,357.28,EsSX,Ngj
102,Wilkinson,Spain,764,gHESfwI,445.44,pOFOgtsTDk,HR
103,Persse,Norway,659,qtJefQrVn,834.01,pzvJKB,Vmo
104,Ailyn,Tokelau,836,SNLvIrWBp,631.05,Of,qCtFlSbF
105,Yate,Switzerland,561,PEC x,841.2,jFGLBOol,JP
106,Presber,Lesotho,9," MhYUERJz",932.05,J CIgHQNQ,ArUaneevL
107,Celestine,Chad,239,IFrDYDJ,685.73,PdT,awRGE
108,Bergman,French Guiana,395,NRiEUD,806.07,RVXKxI,SUbvOXr
109,Quent,Slovenia,760,Gj,719.07,lZSL,Vg
110,Annabella,Netherlands,394,xTWLgEIhS,728.02,cRlmC,P rRMT
111,Whiffen,Norfolk Island,115,QAkmwjlLc,116.51,HFeYi,PGRZIs
112,Concha,Liechtenstein,100,ySUXUWb,774.43,uMgNtLFrtp,ntrtoFEttN
113,Albertine,Bahamas,777,WYSxqUrWi,841.28,QrEIe,UsBMFj
114,Si,Barbados,882,eNPXDbc,993.01,GPh,ElPy
115,Thomasina,Romania,326,Xd,651.03,qEJEYbwg,byDcViDNnl
116,Agle,British Indian Ocean Territory,998,fpX w,355.79,FuPbgQMN,Zyf
117,Sheedy,Cameroon,375,VLKRUHXRZ,142.24,dO Az,wutEtzEa
118,Silvan,Equatorial Guinea,794,muW,534.25,lPmXA,xze
119,Sisile,Northern Mariana Islands,33,WNtG,698.64,GzOs,tGsSQ
120,Niccolo,Western Sahara,271,TxWW,110.97,SotNdaMu,jX
121,Ovid,Belgium,768,DHGHy,979.39,GoDcuTo,fBfL
122,Rurik,Turkmenistan,731,KYRS,779.17,"KRSpDZ ",vEEUew
123,Tarrant,Bolivia,184,LlwXyB,964.58,bm,FSnpw
124,Hieronymus,Liechtenstein,631,OLsjsDO,813.81,hrYFI,hO
125,Telfer,Estonia,921,LFdzz,31.11,BhdaxF,CUhMdgqYtf
126,Winnick,American Samoa,109,wPrwI,933.98,SjUDDnCZyV,"  zhGPeQxk"
127,Tice,Namibia,783,INUPrccN,78.78,upigA,ZAyUl
128,Concha,Bosnia and Herzegovina,772,fJRkd,900.27,BnrBdDx,tthMIP
129,Kaja,Montserrat,718,tUFy,15.64,nNRqKNrX,YuBMXljKd
130,Torray,Albania,989,CTsPdh,340.92,URVgHgLto,rfjjzZCiRD
131,Hertzfeld,AndorrA,738,QkJjT,208.48," bel",BFnu
132,Emmy,Ethiopia,389,VUH,279.86,sIlRjeTXY,eVSfs
133,O'Carroll,Bouvet Island,312,IOBxCNpo,411.55,EYfk,CPtIsug
134,Tengdin,New Caledonia,94,gUUSvXfk,493.38,UW,lNe
135,Teryn,Saint Vincent and the Grenadines,145,JvlVl,58.38,HeCCn CmMo,WEA
136,Ellord,Saint Helena,880,JG,366.07,arBozPp," f"
137,Alrich,Reunion,717,AQjO,836.42,iJLC,rDW
138,Capello,Jordan,146,lOlKYNgS,476.74,TLOomtOy,VZr zK
139,Skell,Malaysia,106,ZZFv cGqi,677.99,SGzOkjmSx,efIfb
140,Harned,Azerbaijan,688,zGqwcygeU,451.97,NXAzD,XFpZo
141,Niles,Turkmenistan,235,wMBmK,698.02,pCnr,jDwZSuiE
142,Lutero,Saint Vincent and the Grenadines,928,TI,532.05,rlKY,bjxuTN
143,Sperling,Morocco,311,guFQfl,827.27,ciaWLzZw,dK
144,Flyn,Switzerland,20,Hm,952.32,AuJbjf,PVYZISHN
145,Schenck,Falkland Islands (Malvinas),802,yPJek,180.68,ujOSNziQ,zliDCAEgjY
146,Ackerley,Ghana,575,AmGklcgl,444.67,JBwsc,AucFzJbULV
147,Ramona,Yemen,139,sVoctE,496.49,DvgUY,fxwIBAmwrV
148,Lasley,Costa Rica,168,Y RLFx,93.36,oWxdvgxk,vcVEzpOWA
149,Ursulette,Mongolia,386,AN,881.31,tHuWLB,GlXBwTm
150,Douglass,Pakistan,322,qUTh,118.78,OrhFUMRib,GkNyYNtT
151,Heisel,Japan,712,Yo,720.5,eWcmKVdt,EWZYnLayIU
152,Rosalba,Egypt,205,fCBgt,464.86,WBGI,JwYGE
153,Girardo,Pitcairn,768,wwt,256.16,ESFIS,ER
154,Jammal,Western Sahara,74,evtjwQqjn,306.37,lyWWwzUPC,zvSoewE Jv
155,Gunn,"Lao People""S Democratic Republic",876,bYEsFduR,420.86,kAAqwZA,hjB
156,Slifka,Croatia,799,RXcRlRZS,271.37,SSV,wYTZME
157,Sikorski,Mayotte,942,ElRc,889.92,oDbUb,A r
158,Bennie,Netherlands Antilles,358,PGmkl,947.95,GeSV KQ,hxuULzugE
159,Sammons,Benin,853," It XOf",654.17,YSSoC,szVjCNPeEa
160,Jena,Iceland,434,pSXxEiC,205.96,uD,ZxJ
161,Anis,El Salvador,637,chIdN,448.39,Ckc,iCxcgpeEJz
162,Miru,Indonesia,373,bMEo,91.08,uC,YRzn
163,Kevon,Switzerland,74,aMCDw,707.8,G rQKa," h"
164,Zenas,El Salvador,847,BweLykh,878.32,SvfxayZ,pmh
165,Alarise,Namibia,959,eWSzy,481.71,drelTOm,HQeNV rL
166,Arne,Hong Kong,345,ZNNswPmIC,672.38,OmIcWXtqVC,qqUTJHxH
167,Oriana,United Kingdom,823,okDOJaUj,32.76,Tn,QGgVPWMWyD
168,Fontana,Maldives,314,oOQzoTx,19.92,ebKy,Vugt QuWe
169,Kunin,Togo,524,ajdkZXA,991.98,kLgS,YxZQhJtYxE
170,Kiyoshi,Dominican Republic,591,xQKfjL,626.96,RxxFC,CuHsRjPri
171,Smitt,Botswana,531,RrlrFAB,224.84,zG,xiEcZgq
172,Wind,Namibia,345,mPEdkLWWE,142.45,oH lTppjx,MwWw
173,Damarra,Austria,15,QLfSIJLO,153.55,hue,znjI
174,Tristram,Argentina,800,XafpQM,98.77,mzpm,NKH
175,Bergman,San Marino,737,AOycME,780.41,BY,kSNDfFEnj
176,Diogenes,Niger,545,kxzZ,320.42,xSe,pw
177,Cullin,Syrian Arab Republic,369,dpUb,65.17,bwKhVl w,Zo
178,Dex,Faroe Islands,230,JASz,923.06,dpbFdhZ,yqqOEuBL
179,Winnick,Djibouti,169,ys,526.93,JPo,JedwyjtoYx
180,Gale,"Cote D""Ivoire",731,xkOr,444.03,aBzcG,brKppoO
181,Danby,Papua New Guinea,445,rsVkh,964.9,jHSBG,tYJ
182,Valerio,RWANDA,287,aB,720.37,wXh qVLnPn,dEspQknBXf
183,Bertold,Sri Lanka,663,WwDn,574.63,JVh,SRSpo
184,Daveta,Bangladesh,22,cDGRDIEi,194.91,DZOtaYRVEU,TutvL
185,Schenck,France,30,YimQefx H,668.59,VhFyXqdJMy," cn cQUrA"
186,Euridice,Bermuda,227,lRl,673.8,WbmE,QxggjLAV
187,Wenda,Gabon,925,hHLUuI,145.87,dCBeDW,wLyy
188,Hunfredo,Kenya,285,Rt,926.53,LQooI  ZlX,JyvX
189,Blase,Saint Kitts and Nevis,801,EmAHbqs,141.42,xiTDLnFxXt,TVe
190,Noam,Mauritania,818,dL,152.46,buLuxBeRKa,DZF
191,Francene,Morocco,221,CzUElZx,287.68,KiYRwPTFRq,etsYkPgvZ
192,Erich,Cocos (Keeling) Islands,703,drbFADe,520.36,QqXDcFdPIf,pXZXJdE
193,McCutcheon,France,929,kqxEErk,986.74,iZVxxkB,AxEBa
194,Cordi,South Georgia and the South Sandwich Islands,165,UFoSBgp,652.23,PkPmdhYzm,xMWVevxz
195,Talia,Saint Helena,609,Zt,732.66,HhpJxx,gJDr
196,Maurine,Peru,986,DvFLK,76.35,ZBgUO O,N sO
197,McNully,Spain,611,KnlHRKBSf,170.31,aHRqJhEKkv," Luwk"
198,Bergman,Russian Federation,423,LoktSSYrS,153.95,qQGFbTQwrN,xFofqG
199,Grobe,Hungary,803,zRipvd,587,qrMQznPk,RJFNOzAuq
200,Pacorro,Libyan Arab Jamahiriya,863,OHYojxXey,418.23,mFxstiVG,UZulRTzboy
201,Krystle,Lithuania,326,NlzUkwWCJ,862.15,RrTNY,aG
202,Medrek,Armenia,811,AVnEXP,75.87,nGCHOhf,nfbLhyfDx
203,Edvard,"Micronesia, Federated States of",772,tAPspBAe,921.78,SlhHCLaCl,CBcK
204,Edison,Costa Rica,782,DC,209.94,"ZFVBsw ",PHBq
205,Eliathas,Belize,689,pi,546.83,EMeu,xRzea
206,Bertold,Reunion,92,"QxtTL ",558.14,kQZUWGg,XKe
207,Winthorpe,Myanmar,893,MkbC,32.15,YmWuQDv,nJVD
208,Chinua,Saint Vincent and the Grenadines,796,AvFevL,586.32,WBMMevH,yGbhUirTN
209,Tryck,Jamaica,478,TAWQRq,74.27,sTG,kKN
210,Killigrew,Cameroon,704,dTouPq,745.17,bYGHHzuGcR,UinnuErF
211,Roxanna,Pitcairn,139,snSRFt,75.34,wMNyc F,WSFdoTBejT
212,Markman,Saint Kitts and Nevis,624,jtfABEiBB,283.83,Cp,vbFqg
213,Alabaster,Brazil,947,asJpeumAI,549.95,CGLxiX,uriS
214,Harned,Falkland Islands (Malvinas),473,MP,307.78,GtFfwxUZh,exVrYwEU
215,Brian,Christmas Island,928,zZOmFlGES,211.62,"x ",FQKOh
216,Minetta,Puerto Rico,148,NQyDaz,263.06,pTByUg,DwYdqDeg
217,Robertson,Myanmar,744,lMAyyDJzQ,370.23,LxnmcexK,yuMgjt
218,Magnolia,Morocco,532,uMv,975.45,JUEcD,vycdV
219,Daveta,Romania,945,QB,931.26,HYlBiIOtmN,rp
220,Yerkovich,"Cote D""Ivoire",215,oLlax,546.01,"t ",RszYO
221,Chaing,Greece,106,KpknMG,662.64,JR,aqYKjXSs
222,Izaak,Marshall Islands,869,QPeWuMipm,375.43," QOOxO",pHsNq
223,Haerr,Tunisia,24,FGoSGwRE,809.71,GEKCu,ayKVlrGYX
224,Vernier,Greenland,387,KUXVpy,897.09,NoxBCCmC,QoooGPVQmP
225,Wattenberg,Palau,165,ngR,686.01,ageVotrS,xjnEtIBZmo
226,Stephie,French Polynesia,422,AYZD,45.84,Dpb,xd
227,Kenwood,Peru,168,AWSo,784.48,pLFJIrO,Lv
228,Lutero,Guadeloupe,409,dpNS,264.45,bAXdirHpW,vmgz
229,Carmena,Western Sahara,765,XUI,737.25,MrMrIjt,OrUDaizt
230,Karl,Congo,753,RDwOfXeI,611.94,GzN,ciXklw
231,Jacinda,Netherlands Antilles,939,Cjg,884.59,bRKiXiSqPR,zaZahAzgiC
232,Thornburg,Uzbekistan,80,TP NN,546.19,yEbKh,wnTJ
233,Bashemeth,Mauritania,85,lsHiXvHB,986.55,yM,ugoGCP
234,Zachary,Nicaragua,723,moONHGj,118.91,mqNMV,EGLmtQ
235,Slifka,Germany,334,EhQWnscon,278.49,IQuAokSs,fz
236,Percy,Cayman Islands,829,JAykwE,197.43,tiNbCpAWQ,dqKFYa
237,Gordon,Gambia,285,Hx,764.14,AKiykzCzCk,ypNIqwX
238,Shields,Marshall Islands,780,"Noi ",737.73,HmJeX,QZuqWjd
239,Hermes,Iceland,112,vQs,677.25,CS w,yI
240,Saint,Cape Verde,403,"MARq ",528.55,SoK,zVKTeRF
241,Cimbura,Luxembourg,140,TcNnpyi,335.42,oas,buEkfL
242,Lacombe,Martinique,351,kikKW,285.04,XOhYrGe,gFtTNcTy
243,Marlie,Philippines,47,lZ,866.44,rrsV,rPpkLYnKVh
244,Hertzfeld,Sudan,802,uIBqxSzC,533.77,EtEHwLvP,xJWH
245,Noelyn,Sudan,969,pBHa,140.04,yqKmBnl,KAekO
246,Fancie,Montserrat,163,rFPxmfakG,557.62,E JedyogIt,tnPmLYk
247,Linskey,El Salvador,452,qEvA,427.13,kPphCE,DfATDOi
248,Stover,Costa Rica,842,pfJEVjdW,260.62,az,PHTwzV
249,Juliet,Puerto Rico,7,LYLrhViAi,574.31,rEM,By
250,Zamora,Venezuela,637,OFx,217.14,xtEZUzRF,AvD
251,Vilma,"Macedonia, The Former Yugoslav Republic of",491,rzLOiOzJ,505.39,bbaUT,"AcMcJN "
252,Maribeth,India,820,JryW,22.51,NFVWjcR,xXZUihgFtp
253,Cherianne,Botswana,507,SuGDVTA,930.86,hZEhdE,YuWWeMAe
254,Bergman,Niger,342,SXtkAhK,412,udyhRJqgoE,osIBjAxpwm
255,Solitta,Somalia,900,"xLNeeCWf ",3.72,invicJj,jbXLfq
256,Bashemeth,Italy,475,JjIuIj,346.44,SmALmLeimE,rywyUV
257,Clarissa,United Arab Emirates,728,HSBsKB,772.59,neBAc,WIetqRct
258,Schonfeld,Åland Islands,859,"DF S ",108.73,llcTkdxVG,wveVSh g
259,Gaspard,Russian Federation,141,JB,505.16,ASebR,KebFBwRNL
260,Ariella,Tajikistan,674,pKqk,836.82,dteS," WzJ"
261,Wallis,Mozambique,126,MGylBdBb,740.29,EsrcFjS,AHevJI k
262,Phi,Falkland Islands (Malvinas),328,zg,812.65,qvfu,ppKWx
263,Delp,Heard Island and Mcdonald Islands,483,Sg,755.82,FthILnb,xeEpWp
264,Jefferey,Belarus,387,jO,487.66,XPcTBUk,Ma
265,Pascia,Fiji,965,vqLfTWM,860.54,WOiEsjuBnz,GB
266,Torray,Gambia,974,pYFtZGt,496.98,KGbuQjL,ISEMaqvx
267,Turne,Singapore,692,dZcM,978.5,Zcldg,QP
268,Jammal,Tokelau,821,dIaCznvz,473.88,LprDBBw,uTGw
269,Erminia,San Marino,167,Ug,434.03,onQeGKQyq,Vd
270,Dimitris,Canada,134,Kz,168.38,AkwvDPurOs,iGh
271,Olnee,Bosnia and Herzegovina,206,FAnuX,114.62,KnkwIuHdFR,fZaut
272,Secrest,AndorrA,616,XVC,923.59,riYIyZV,SQ
273,Redmond,Saint Kitts and Nevis,348,hvrthsgX,560.75,bxw,YoPCNqrt
274,Weitman,Aruba,513,dDgqAdTA,199.7,gQMuRdxmLl,evwy
275,Deegan,French Guiana,217,hae Zr,298.02,TBZX,pVRvMaD
276,Stefa,San Marino,47,VBj,384.53,iuIL,Xdd
277,Ellord,"Virgin Islands, U.S.",550,cfkINZCYC,560,oV,IfPgMv
278,Alfons,Senegal,693,snTkt,735.42,UaEiAlNqpQ,MIITs
279,Ventre,United Arab Emirates,407,wqnUDd,797.71,kFaTATsZ,P NeD
280,Edee,Wallis and Futuna,907,hUBR,465.17,FmjbCdSfO,FUMUzVcOYK
281,Guthrie,Reunion,51,cU,679.78,iemaiAivtC,KfTX
282,Albertine,Indonesia,15,lfdC xM,989.62,WmrLz,xBHP
283,Garek,Peru,199,txmXMEm,174.03,sBLwoqCsT,WxnPoUhXhJ
284,Sperling,Norway,332,KaaZrjGC,338.75,Kp,LoX
285,Vivle,Botswana,538,bYEjWA,29.81,EANy,PFmoI
286,Stephie,Sao Tome and Principe,16,ohgEYUo,61.8,ZTVQ,iL
287,Ahab,Norfolk Island,170,Fx,322.35,CLmT,Jz
288,Yoko,Malawi,147,"wUOwXP ",500.83,Fn,bgf
289,Brotherson,Cook Islands,467,FVINUE,531.39,VMM,FdIFCn mO
290,Darian,Bhutan,862,nSIX,98,PT,F PmfIOc
291,Goerke,Nauru,806,gyRut,758.29,WWVWQCRoF,QymYDqA
292,Madaih,"Micronesia, Federated States of",970,av,31.49,hy,zwWIxP
293,Kirbee,Equatorial Guinea,651,xxBAgm,545.08,FFqvNMpF,TKPUJ
294,Kylander,Barbados,679,AjHJnde,77.18,hVxKOFNdD,OuxxLnKV
295,Emmaline,Senegal,166,Pd,146.63,yXFlREzec,rB
296,Kalinda,Syrian Arab Republic,859,ryDOA,426.69,kqCXPIHMg,BTf
297,Kendrick,New Zealand,113,Jtg,616.23,lpHf,mXVyjU  oY
298,Lorenz,Denmark,616,cgmYClI,48.64,COzCtbbUK,TiiykdTnG
299,Rustice,Israel,369,Mphex,426.18,ks,kGcmle
300,Socha,"Moldova, Republic of",706,DKckXeOjj,342.73,"WHSWsFDaa ",ZbgDIaD
301,Jillane,Guinea-Bissau,475,PJAPur,713.17,LYvW,Wm
302,Maribeth,Jamaica,821,oZpdVsrL,642.32,hEWab," FjjJmw"
303,Waldron,Georgia,824,gbEK,870.35,PzpYTjPL,IgesMzoK
304,Sekofski,Samoa,626,QOpug,895.76,DNoLI,SkOw
305,Terrence,Tuvalu,461,mbvL,447.84,WFaA,hWcDrTu
306,Lay,Guadeloupe,993,DoetpwER,225.8,rl,OWLzGiZNw
307,Persse,Chad,801,xq,107.83,tU,PDhJJ
308,Anyah,AndorrA,793,zck,356.23,CZUsKnQa,guk BPJ
309,Daniele,Cameroon,280,Ohbec,293.7,QPMZCePzZ,LKA
310,Travax,Aruba,323,dg,505.07,AxVRfulBDM,NiQTTYm
311,Jehu,Aruba,288,ec,212.17,u vx FtD,GOS
312,Pulsifer,United States,609,yTgW,161.35,RGyhp,dUnZKpjGkb
313,Holtz,Saint Lucia,34,wLbz,5.45,ujvNr,eexTHYiUVk
314,Sholley,Macao,788,LpWlFB,187.3,LmVhX,FJu
315,Mott,Samoa,711,SvkB,770.05,EuuwHnHGsv,uxQ
316,Dominy,Russian Federation,913,Nx,789.74,EVUcJGXWid,Hv
317,Shaver,Sao Tome and Principe,657,ddJT,508.26,uJ,Wt idIyXJh
318,Carvey,India,977,KWdnk,342.29,GMQxOUvgd,bkwZHtsaR
319,Sherrie,Montserrat,941,IsrJ,863.32,cbnyIyIg,DnyswDZDM
320,Schalles,Philippines,291,OK,147.78,hWsUXghn,ev
321,Catie,Zambia,564,EUPSB,777.67,QhdYaeeK,UJKYY
322,Marsden,"Korea, Democratic People""S Republic of",593,NXNVLU,969.92,jcvsmhOF,hgBvL
323,Percy,Svalbard and Jan Mayen,16," liQ",225.72,hXXaZJ,aH
324,Albertine,Saudi Arabia,724,VYHWndU,699.83,Tf,TxBIeOGCU
325,Wolfgram,Ecuador,695,gUdTOmYf,76.34,fgNQeb,MNttoQ
326,Hieronymus,Jordan,145,BUBnU,242.22,ifDamFu aC,PYiY
327,Leffen,Turkmenistan,915,xteF,129.35,CJZhcNcGHo,WAob
328,Peti,Cuba,55,tRvoe,167.31,zIQOW wk,goazlFdufz
329,Garrison,Sao Tome and Principe,563,Yefzpm,528.4,YqSoLIfv,vfNp
330,Audly,Angola,75,HldRM,470.66,MIkFT,nownjDPR
331,Ludewig,Tuvalu,631,KXiOHlAAd,553.46,MVCANxNyas,agjUZR
332,Cutlerr,Armenia,918,pcuGtb,490.06,vCpMu,Uov
333,Lory,Aruba,322,WEVRAwv,395.4,GrdZtbtFX,BgKx
334,Saint,Puerto Rico,792,todjVoxMW,256.74,Eq,UOBaHoJ
335,Federica,Åland Islands,268,mo GbLYx,757.36,nTjl,FNFRmX
336,Eno,United Arab Emirates,398,Id,29.95,WIxVIvgYV,DLjUbIgND
337,Gower,Georgia,408,NrV,821.01,riSMeUWryX,KDumfEV
338,Liebermann,Barbados,3,slkmZZ,828.99,FIewgiwkW,nG
339,Bari,Sweden,456,reZOf,869.95,ZXh,wighQXlXU
340,Chandler,Kazakhstan,392,RMRhH,730.04,TBM,cppAVkvO
341,Chick,Algeria,511,pbNPxdO,418.57,UYMuHg,KR sTKtcaB
342,Martguerita,New Caledonia,245,tyqaE Q,410.7,YB,udrC
343,Pauly,Croatia,765,gWBQrbLZ,557.72,hFTaI,pK
344,Calhoun,Serbia and Montenegro,687,rDANiHY,264.39,jM,sFbJml
345,Sprage,Saint Lucia,935,yCYFmh,605.9,AyGIZgQk,IT
346,Honoria,Chile,576,dmpW,404.26,wTcPv,CdHexBzcW
347,Lia,Guinea,806,DYWYPjFp,740.55," VPTrCWHv",oZDddO knL
348,Fiester,Bahamas,142,"coqoqrL ",937.49,IxNI,aV
349,Lubin,Guam,168,VAFmtPTff,173.96,smTIIuF,vob
350,Bluh,Norfolk Island,20,nyRQ,637.31,ZUTMEWDW,Vx
